Date,Room_Counts,Guest_Count,No_DVC_Room_Count,No_DVC_Guest_Count
2015-07-10,23723,81453,19575,65052
2015-07-11,24569,84408,20324,67535
2015-07-12,23838,82979,19600,65965
2015-07-13,25244,87707,20829,69924
2015-07-14,26136,90202,21647,72197
2015-07-15,26264,90513,21766,72449
2015-07-16,26145,90016,21663,72048
2015-07-17,26068,89849,21582,71930
2015-07-18,25637,88079,21117,70198
2015-07-19,24086,83390,19655,65743
2015-07-20,24659,85196,20168,67245
2015-07-21,25229,86643,20695,68561
2015-07-22,25213,86485,20647,68251
2015-07-23,25556,87320,20950,68862
2015-07-24,24997,85885,20377,67344
2015-07-25,24075,82736,19430,64168
2015-07-26,22888,78602,18269,59981
2015-07-27,23556,79922,18877,61012
2015-07-28,24690,82050,19978,62956
2015-07-29,24664,82014,19966,63043
2015-07-30,24503,81417,19800,62501
2015-07-31,23884,79916,19283,61392
2015-08-01,22590,77877,17974,59367
2015-08-02,21672,75633,17022,56867
2015-08-03,22886,79265,18215,60419
2015-08-04,23489,80922,18812,62104
2015-08-05,23859,81950,19170,63073
2015-08-06,23815,81483,19079,62418
2015-08-07,22943,79178,18210,60291
2015-08-08,22443,77057,17710,58304
2015-08-09,20920,72206,16361,54018
2015-08-10,21577,73606,17011,55401
2015-08-11,21596,73433,17029,55220
2015-08-12,21161,72599,16669,54650
2015-08-13,21463,73756,16988,55827
2015-08-14,22767,78173,18250,60124
2015-08-15,24915,84936,20354,66801
2015-08-16,25265,86179,20674,67786
2015-08-17,26498,89832,21864,71337
2015-08-18,27016,91332,22327,72618
2015-08-19,27066,91442,22352,72654
2015-08-20,27320,91947,22574,73047
2015-08-21,27356,91644,22656,73114
2015-08-22,26880,89511,22202,71153
2015-08-23,24479,81359,19904,63575
2015-08-24,24498,81404,20125,64167
2015-08-25,24388,80795,20079,63942
2015-08-26,23707,78288,19490,61859
2015-08-27,22938,75561,18799,59462
2015-08-28,24037,78121,19756,62088
2015-08-29,23790,76180,19662,61117
2015-08-30,20635,66669,17078,53668
2015-08-31,18926,61210,15782,49746
2015-09-01,18610,59397,15561,48526
2015-09-02,19155,60783,16114,49981
2015-09-03,20859,66218,17448,54188
2015-09-04,25863,82394,21718,67129
2015-09-05,27926,89304,23195,71920
2015-09-06,27843,88388,23060,71084
2015-09-07,21824,66097,18208,54071
2015-09-08,22044,64305,18581,53152
2015-09-09,23124,66823,19484,55186
2015-09-10,24966,72944,20950,59987
2015-09-11,27232,82330,22766,67394
2015-09-12,27844,84762,23133,68720
2015-09-13,26714,80091,22153,64822
2015-09-14,26562,78098,22112,63410
2015-09-15,26259,76146,21969,62125
2015-09-16,26437,76334,22118,62257
2015-09-17,27072,79466,22546,64476
2015-09-18,27787,84120,23041,67839
2015-09-19,28031,86174,23207,69278
2015-09-20,27328,82292,22621,66059
2015-09-21,27437,81517,22801,65688
2015-09-22,27437,82212,22777,66204
2015-09-23,27458,82951,22766,66767
2015-09-24,27472,84484,22686,67842
2015-09-25,28153,86996,23306,69999
2015-09-26,28191,86612,23360,69701
2015-09-27,27050,80533,22457,64960
2015-09-28,26643,77738,22212,63107
2015-09-29,26121,75646,21800,61445
2015-09-30,26511,77319,22160,62893
2015-10-01,27337,81089,22733,65391
2015-10-02,27854,85161,23126,68458
2015-10-03,28098,84237,23345,67173
2015-10-04,28048,80584,23273,63677
2015-10-05,27513,78838,22824,62358
2015-10-06,27562,78432,22935,62187
2015-10-07,27619,79582,22929,62819
2015-10-08,27237,83123,22468,65790
2015-10-09,28002,87634,23190,69781
2015-10-10,28350,88906,23494,70673
2015-10-11,28196,88515,23345,70471
2015-10-12,27841,86078,23123,68876
2015-10-13,27265,83718,22666,67016
2015-10-14,27790,85602,23050,68389
2015-10-15,28175,87547,23329,69802
2015-10-16,28348,88719,23485,70798
2015-10-17,28387,88173,23516,70452
2015-10-18,28021,85456,23200,68345
2015-10-19,27516,81197,22796,64888
2015-10-20,27298,79496,22616,63535
2015-10-21,27416,80825,22721,64562
2015-10-22,27929,84357,23240,67720
2015-10-23,28212,87048,23464,69878
2015-10-24,28140,86308,23437,69508
2015-10-25,28045,86118,23280,69321
2015-10-26,26679,80609,22099,64782
2015-10-27,26615,79683,22091,64195
2015-10-28,27515,82840,22911,66754
2015-10-29,28028,86363,23279,69365
2015-10-30,28187,89060,23343,71281
2015-10-31,28297,89913,23444,71892
2015-11-01,27708,84502,22958,67128
2015-11-02,27207,80954,22563,64215
2015-11-03,26518,78146,21970,61855
2015-11-04,26643,79752,21969,62832
2015-11-05,27497,82329,22722,64911
2015-11-06,28289,84294,23426,66478
2015-11-07,28343,84074,23454,66268
2015-11-08,27961,83717,23165,66567
2015-11-09,27738,81340,23022,64808
2015-11-10,28050,82998,23276,66368
2015-11-11,27941,83864,23186,67259
2015-11-12,28042,85833,23215,68877
2015-11-13,28326,88391,23450,70904
2015-11-14,28362,88746,23479,71062
2015-11-15,27929,85531,23156,68550
2015-11-16,27384,82132,22735,65976
2015-11-17,27058,80480,22506,64787
2015-11-18,26595,80744,22076,65015
2015-11-19,27752,88484,23076,71649
2015-11-20,28106,93627,23329,75731
2015-11-21,28269,96499,23422,77702
2015-11-22,27157,92785,22367,73759
2015-11-23,26728,92345,21974,73222
2015-11-24,26541,92082,21739,72641
2015-11-25,26657,91904,21866,72532
2015-11-26,27382,93283,22569,73944
2015-11-27,27466,91756,22685,72784
2015-11-28,26478,85943,21722,67913
2015-11-29,23712,74356,19234,58101
2015-11-30,23647,71528,19334,56351
2015-12-01,24711,73328,20289,58012
2015-12-02,25827,76675,21280,60912
2015-12-03,27525,82993,22867,66582
2015-12-04,27691,85819,22931,68824
2015-12-05,28085,86825,23292,69805
2015-12-06,27665,84027,22960,67621
2015-12-07,27452,81886,22820,65923
2015-12-08,27452,81260,22864,65552
2015-12-09,27306,81166,22697,65430
2015-12-10,27360,82162,22701,66068
2015-12-11,27968,85534,23251,68729
2015-12-12,27656,83777,22921,66973
2015-12-13,24452,70810,19943,55059
2015-12-14,22518,64242,18172,49319
2015-12-15,24344,71660,20050,56954
2015-12-16,23974,73836,19684,58853
2015-12-17,24764,79702,20421,63869
2015-12-18,26326,87930,21782,70570
2015-12-19,27694,94625,22996,76188
2015-12-20,26994,93792,22346,75269
2015-12-21,26625,93331,21904,74479
2015-12-22,25112,88267,20422,69580
2015-12-23,23660,82541,19078,64442
2015-12-24,24376,84334,19858,66574
2015-12-25,26027,90015,21418,71794
2015-12-26,26786,92609,22148,74087
