swid,ref_idvl_id,exprnc_id,travelPlanId,reservationId,FAC_ID,entrprs_fac_id,res_fac_nm,trvl_sts_nm,TPS_ARVL_DT,TPS_DPRT_DT,new_tkt_vld_strt_dt,new_tkt_exp_d,old_tkt_vld_strt_dt,old_tkt_exp_dt
{13FA94CC-76C3-4477-BA94-CC76C3947735},2158746445,CAFEF00D650200000000000019522712,481260630381,481261553226,80010403,80010403,Disney's Pop Century Resort,past visit,5/30/2018,6/2/2018,5/29/2019,3/25/2019,11/8/2017,3/25/2019
{BC1E43F9-926B-46A7-A0DC-5DF445CDAF95},107521544,CAFEF00D650200000000000194536041,490699398492,490691880833,80010388,80010388,Disney's Polynesian Village Resort,past visit,3/23/2019,3/26/2019,6/9/2019,6/13/2019,3/23/2019,3/24/2019
{C1AAAB32-0397-44E9-9008-AA460CD4B7BA},2808383442,CAFEF00D650200000000000014618000,482874866492,482871951069,80010402,80010402,Disney's All-Star Movies Resort,past visit,2/12/2019,2/15/2019,2/13/2019,2/16/2019,1/13/2019,1/12/2019
{E4078370-30E2-42E1-8B67-B6BD647F5F99},3050028757,CAFEF00D650200000000000360909663,490304039424,490301796446,80010388,80010388,Disney's Polynesian Village Resort,past visit,3/17/2019,3/20/2019,3/19/2019,3/19/2019,3/20/2019,3/19/2019
{EA167912-8A93-42A3-819D-9A827DBCFC06},390109758,CAFEF00D650200000000000136800660,491704660458,491701468671,80010388,80010388,Disney's Polynesian Village Resort,booked,7/17/2019,7/21/2019,7/17/2019,7/24/2019,7/18/2019,6/19/2019
{2589EA39-D3EC-449F-89EA-39D3EC549F07},3390518592,CAFEF00D650200000000000371708450,490168370911,490161704735,80010387,80010387,Disney's Old Key West Resort,past visit,4/7/2019,4/11/2019,4/8/2019,4/11/2019,4/7/2019,4/8/2019
{3805FD08-42D7-44B9-9FB8-9994EF83B71C},2121375641,CAFEF00D650200000000000357650491,490387140141,490381404678,80010403,80010403,Disney's Pop Century Resort,past visit,4/15/2019,4/21/2019,4/16/2019,4/22/2019,4/15/2019,4/16/2019
{632554AC-BD16-4537-9C9C-F061DB26BB17},3163994500,CAFEF00D650200000000000038380292,490221027557,490221201255,80010384,80010384,Disney's Grand Floridian Resort & Spa,past visit,2/16/2019,2/17/2019,2/16/2019,2/16/2019,2/15/2019,2/16/2019
{1A302E59-0492-480D-8D01-5B3FBDA3796A},3016581951,CAFEF00D650200000000000237292772,483195979891,483191260999,80010401,80010401,Disney's All-Star Sports Resort,past visit,6/9/2019,6/14/2019,6/10/2019,6/13/2019,6/9/2019,6/10/2019
{C13361C9-64B2-4A4A-8441-2AAC64170F5D},3384510464,CAFEF00D650200000000000370183077,490689153882,490681830687,80010403,80010403,Disney's Pop Century Resort,past visit,5/3/2019,5/5/2019,5/6/2019,5/9/2019,5/3/2019,5/7/2019
{AA0892DD-BA21-4B97-8892-DDBA210B9782},2161509136,CAFEF00D650200000000000021312265,483154668231,483151974999,80010408,80010408,The Cabins at Disney's Fort Wilderness Resort,past visit,3/11/2019,3/17/2019,3/12/2019,3/15/2019,3/11/2019,3/15/2019
{68CC2776-F92E-427C-9D5C-B0988DE2D586},3238614924,CAFEF00D650200000000000308194522,482895706042,482891128330,80010401,80010401,Disney's All-Star Sports Resort,past visit,2/2/2019,2/3/2019,2/2/2019,2/5/2019,2/1/2019,12/2/2018
{F0D9985E-A85D-47F6-AC2B-B76ED23441A0},3259148475,CAFEF00D650200000000000309948423,482978625082,482971737300,80010404,80010404,Disney's Art of Animation Resort,past visit,3/7/2019,3/9/2019,3/9/2019,3/9/2019,3/8/2019,3/9/2019
{2DC0C3F1-6572-4A8C-9B4A-C2C8270F8AD9},1613838295,CAFEF00D650200000000000213602029,482885214832,482881028949,80010398,80010398,Disney's Port Orleans Resort - French Quarter,past visit,2/1/2019,2/4/2019,2/3/2019,2/3/2019,2/1/2019,2/3/2019
{2468EFB0-7D79-4243-A05C-F7A8B7EE51A5},417894606,CAFEF00D650200000000000085451070,490636919741,490631392476,80010397,80010397,Disney's Port Orleans Resort - Riverside,past visit,5/22/2019,5/24/2019,5/22/2019,5/25/2019,5/20/2019,5/14/2019
{581B722B-0BEA-4863-A83C-CAF9920BDA60},334059510,CAFEF00D650200000000000113883353,491373739431,491371086662,80010391,80010391,Disney's BoardWalk Villas,booked,9/2/2019,9/7/2019,9/2/2019,9/9/2019,9/22/2019,6/3/2019
{8C0BFB27-9CED-4786-B60A-F85D4E0A2F4D},356292674,CAFEF00D650200000000000072797308,490200104943,490201023788,80010399,80010399,Disney's Caribbean Beach Resort,past visit,3/8/2019,3/14/2019,3/10/2019,3/10/2019,3/8/2019,3/9/2019
{862D73D7-0C38-4323-BF99-42C07CD64064},3287855864,CAFEF00D650200000000000315032988,490136861378,490131409491,80010385,80010385,Disney's Contemporary Resort,past visit,5/18/2019,5/23/2019,5/18/2019,5/25/2019,5/19/2019,5/18/2019
{420A5F46-287E-4010-9E68-6B1621F43BB4},397722127,CAFEF00D650200000000000368913940,490845441071,490841152108,80010398,80010398,Disney's Port Orleans Resort - French Quarter,past visit,5/11/2019,5/18/2019,5/16/2019,5/16/2019,5/12/2019,3/25/2019
{A6E2A12A-844F-42D8-BDE2-B1C3F57555D4},1941524139,CAFEF00D650200000000000192370646,482812848411,482811537940,80010394,80010394,Disney's Wilderness Lodge,past visit,3/7/2019,3/9/2019,3/9/2019,3/9/2019,3/8/2019,3/9/2019
{ABC65E52-D7BE-43D2-865E-52D7BEE3D2DD},3283783170,CAFEF00D650200000000000332338670,483350991081,483351296171,80010399,80010399,Disney's Caribbean Beach Resort,past visit,1/17/2019,1/19/2019,1/17/2019,1/20/2019,1/18/2019,1/17/2019
{A6163EB0-292C-4596-963E-B0292C7596A6},2601858810,CAFEF00D650200000000000184270316,490772877721,490771613337,80010404,80010404,Disney's Art of Animation Resort,past visit,6/12/2019,6/22/2019,6/14/2019,6/25/2019,11/8/2017,6/21/2019
{E51793E8-6C47-44B9-9793-E86C47B4B932},417134963,CAFEF00D650200000000000073340757,482367568611,482361387665,1,1,Bay Lake Tower at Disney's Contemporary Resort,past visit,3/24/2019,3/29/2019,3/26/2019,3/26/2019,12/20/2019,3/22/2019
{122B448E-A840-42A2-ABE8-6E6FDBC840B5},407325126,CAFEF00D650200000000000044505840,490094818131,490091014083,1,1,Bay Lake Tower at Disney's Contemporary Resort,past visit,3/9/2019,3/10/2019,3/3/2019,3/12/2019,10/9/2017,3/8/2019
